                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4304,                 3.0581,                 1.6012,                0.57535,                0.42639,                0.46117,                0.29876,                 1.4061,                 2.3565,                 1.5316,             0.00025332,             0.00025332,             0.00025332
                      2,                 1.3876,                 2.1381,                 1.5567,                0.43487,                0.44575,                0.41637,                0.24468,                 1.6934,                 2.3672,                  1.872,             0.00049956,             0.00049956,             0.00049956
                      3,                 1.4194,                  2.012,                 1.5856,                0.36238,                0.36287,                 0.2955,                0.16102,                 1.9461,                 2.5387,                  2.026,             0.00073565,             0.00073565,             0.00073565
                      4,                  1.433,                 1.8561,                 1.5832,                0.52468,                0.49237,                 0.4787,                0.27741,                 1.6141,                 2.2194,                 1.8138,             0.00072332,             0.00072332,             0.00072332
                      5,                 1.3771,                  1.679,                 1.5541,                0.57901,                0.50338,                0.50271,                 0.3133,                 1.5087,                 1.8378,                 1.7095,             0.00072332,             0.00072332,             0.00072332
                      6,                 1.3596,                 1.5791,                 1.5361,                0.59697,                0.62508,                 0.5934,                0.36225,                 1.4427,                 1.6815,                 1.5641,              0.0007081,              0.0007081,              0.0007081
                      7,                 1.3279,                 1.4867,                 1.5147,                0.60046,                0.53111,                0.54247,                0.32996,                 1.4829,                 1.8568,                 1.6404,             0.00069287,             0.00069287,             0.00069287
                      8,                 1.3002,                 1.4139,                 1.4923,                0.73985,                0.58368,                 0.6591,                0.42393,                 1.3943,                 1.5034,                  1.545,             0.00067764,             0.00067764,             0.00067764
                      9,                 1.2805,                 1.3524,                 1.4718,                0.66842,                0.54395,                0.57498,                0.33795,                 1.5605,                 1.8398,                 1.6559,             0.00066242,             0.00066242,             0.00066242
                     10,                 1.2662,                 1.3018,                 1.4585,                0.78155,                0.63637,                0.71207,                0.45233,                 1.3301,                 1.3513,                 1.4499,             0.00064719,             0.00064719,             0.00064719
                     11,                  1.244,                 1.2672,                 1.4496,                0.68572,                0.58437,                0.62161,                0.39525,                 1.4414,                 1.5958,                 1.5769,             0.00063196,             0.00063196,             0.00063196
                     12,                 1.2231,                 1.2079,                 1.4243,                0.73791,                0.65209,                 0.7002,                0.43076,                 1.3831,                 1.2521,                  1.524,             0.00061674,             0.00061674,             0.00061674
                     13,                 1.2085,                 1.1771,                 1.4094,                0.82337,                 0.6554,                0.73683,                0.47446,                 1.2952,                 1.1787,                  1.436,             0.00060151,             0.00060151,             0.00060151
                     14,                 1.1962,                 1.1574,                 1.4052,                0.76548,                0.73219,                 0.7737,                0.50375,                 1.2755,                 1.1172,                 1.4331,             0.00058629,             0.00058629,             0.00058629
                     15,                 1.1757,                 1.1234,                 1.3973,                0.76269,                0.68338,                0.72915,                0.46636,                 1.3042,                 1.2041,                  1.489,             0.00057106,             0.00057106,             0.00057106
                     16,                 1.1629,                 1.1034,                 1.3805,                0.75751,                0.67896,                0.72449,                0.45826,                 1.3505,                 1.2177,                 1.4889,             0.00055583,             0.00055583,             0.00055583
                     17,                 1.1584,                 1.0871,                 1.3748,                0.73786,                0.67891,                 0.7212,                 0.4782,                 1.2828,                 1.1957,                 1.4686,             0.00054061,             0.00054061,             0.00054061
                     18,                 1.1393,                 1.0544,                 1.3701,                0.79714,                0.70451,                0.78358,                0.52903,                 1.2449,                 1.0237,                 1.3786,             0.00052538,             0.00052538,             0.00052538
                     19,                 1.1316,                 1.0376,                 1.3546,                0.80999,                0.70998,                0.77484,                0.52576,                 1.1934,                  1.099,                 1.3775,             0.00051015,             0.00051015,             0.00051015
                     20,                  1.119,                 1.0211,                 1.3484,                0.78121,                 0.7159,                0.78324,                 0.5268,                 1.2056,                  1.035,                 1.3671,             0.00049493,             0.00049493,             0.00049493
                     21,                 1.1219,                 1.0052,                 1.3408,                0.81881,                0.70273,                0.78039,                0.52308,                 1.2271,                 1.0767,                 1.4098,              0.0004797,              0.0004797,              0.0004797
                     22,                 1.1096,                0.98449,                 1.3343,                0.81955,                0.71909,                0.77913,                0.52499,                 1.2391,                 1.0243,                 1.3766,             0.00046448,             0.00046448,             0.00046448
                     23,                 1.0816,                0.94741,                 1.3172,                0.81986,                0.73702,                0.79257,                0.53592,                 1.2233,                 1.0133,                 1.3557,             0.00044925,             0.00044925,             0.00044925
                     24,                 1.0811,                0.95224,                 1.3227,                0.83123,                0.70001,                0.78448,                0.53612,                 1.2191,                0.98657,                 1.3667,             0.00043402,             0.00043402,             0.00043402
                     25,                 1.0699,                0.94662,                 1.3121,                0.80049,                0.75113,                0.78801,                0.53844,                 1.2005,                0.97742,                 1.3644,              0.0004188,              0.0004188,              0.0004188
                     26,                 1.0732,                0.94096,                 1.3104,                0.80792,                0.74856,                0.78204,                 0.5283,                 1.2157,                0.95716,                 1.3613,             0.00040357,             0.00040357,             0.00040357
                     27,                 1.0513,                0.89441,                 1.2948,                 0.8384,                0.69893,                0.78712,                0.53533,                 1.1942,                 0.9663,                 1.3539,             0.00038835,             0.00038835,             0.00038835
                     28,                 1.0466,                 0.8968,                 1.2895,                0.79489,                0.74384,                0.79443,                0.53429,                 1.2086,                 0.9846,                 1.3471,             0.00037312,             0.00037312,             0.00037312
                     29,                 1.0312,                0.87284,                 1.2799,                0.84297,                0.71935,                0.79433,                0.53778,                 1.2242,                0.97217,                 1.3742,             0.00035789,             0.00035789,             0.00035789
                     30,                 1.0263,                 0.8658,                 1.2816,                0.86226,                0.73291,                0.80564,                 0.5465,                 1.2151,                0.95793,                 1.3588,             0.00034267,             0.00034267,             0.00034267
                     31,                 1.0148,                0.84761,                 1.2704,                0.85527,                0.74258,                0.81618,                0.55565,                 1.2323,                0.93526,                 1.3675,             0.00032744,             0.00032744,             0.00032744
                     32,                 1.0095,                 0.8351,                  1.265,                0.84592,                0.72755,                0.80004,                0.54996,                 1.1877,                0.93519,                 1.3658,             0.00031221,             0.00031221,             0.00031221
                     33,                0.98481,                0.82029,                  1.251,                0.85239,                0.74163,                0.79414,                0.53904,                 1.1964,                0.91055,                 1.3588,             0.00029699,             0.00029699,             0.00029699
                     34,                0.99718,                0.80893,                 1.2529,                0.82524,                 0.7565,                0.79963,                0.55468,                 1.1818,                 0.8966,                 1.3489,             0.00028176,             0.00028176,             0.00028176
                     35,                0.97874,                0.79692,                 1.2424,                0.86053,                0.73084,                 0.8039,                0.55937,                 1.1844,                0.88481,                  1.347,             0.00026654,             0.00026654,             0.00026654
                     36,                0.97354,                0.79191,                 1.2422,                0.83888,                 0.7563,                0.80347,                0.56397,                 1.1646,                0.90767,                 1.3247,             0.00025131,             0.00025131,             0.00025131
                     37,                0.96187,                0.77875,                  1.231,                0.86611,                0.71851,                0.79662,                0.53777,                  1.204,                0.90394,                 1.3633,             0.00023608,             0.00023608,             0.00023608
                     38,                0.95416,                0.76555,                 1.2252,                0.84182,                0.77936,                0.82556,                0.57388,                 1.1683,                 0.8369,                 1.3386,             0.00022086,             0.00022086,             0.00022086
                     39,                0.93753,                0.75639,                  1.222,                0.82737,                0.78177,                0.82114,                0.56592,                 1.1677,                0.85847,                 1.3288,             0.00020563,             0.00020563,             0.00020563
                     40,                 0.9482,                0.75317,                  1.217,                0.81353,                0.76531,                0.81168,                0.56555,                 1.1549,                0.84405,                 1.3358,              0.0001904,              0.0001904,              0.0001904
                     41,                0.93372,                0.65036,                 1.2236,                0.84733,                0.73436,                 0.8116,                0.56478,                 1.1766,                0.84469,                 1.3377,             0.00017518,             0.00017518,             0.00017518
                     42,                0.89494,                0.61624,                 1.2003,                0.86252,                0.75864,                 0.8382,                0.58749,                 1.1464,                0.81472,                  1.334,             0.00015995,             0.00015995,             0.00015995
                     43,                0.87134,                0.58434,                 1.1842,                0.83858,                0.77039,                0.83429,                0.58759,                  1.132,                0.81248,                 1.3103,             0.00014473,             0.00014473,             0.00014473
                     44,                0.86449,                0.57933,                 1.1777,                0.83975,                0.77047,                0.82596,                0.58949,                 1.1125,                0.82332,                 1.3155,              0.0001295,              0.0001295,              0.0001295
                     45,                0.84803,                0.56464,                 1.1712,                0.85867,                0.76757,                0.83406,                0.58851,                 1.1421,                0.80198,                 1.3304,             0.00011427,             0.00011427,             0.00011427
                     46,                0.83437,                0.54607,                 1.1547,                0.86091,                0.77008,                0.82866,                 0.5812,                 1.1469,                0.82381,                 1.3324,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     47,                0.81966,                0.53966,                 1.1463,                0.88312,                0.75853,                0.82822,                0.58818,                  1.142,                0.82775,                 1.3327,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     48,                0.81027,                0.52733,                 1.1421,                0.88835,                 0.7637,                0.83186,                0.59075,                 1.1288,                0.80608,                 1.3227,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     49,                0.80242,                0.52306,                 1.1406,                0.85218,                0.77969,                0.83025,                0.58895,                 1.1232,                0.81286,                  1.324,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     50,                0.78847,                0.51473,                 1.1261,                  0.855,                0.77667,                0.83148,                0.58841,                 1.1222,                0.82501,                 1.3258,             3.8142e-05,             3.8142e-05,             3.8142e-05
