                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5416,                 3.1416,                 1.5045,                0.56535,                0.10398,                0.28386,                0.16438,                 1.3652,                 3.8045,                 1.4791,             0.00040865,             0.00040865,             0.00040865
                      2,                 1.5928,                 2.4978,                 1.4675,                0.33743,                 0.3814,                0.31704,                0.18155,                 1.5895,                 4.3318,                 1.6709,             0.00077085,             0.00077085,             0.00077085
                      3,                 1.5902,                 2.3187,                 1.4915,                 0.4124,                0.35283,                0.31849,                0.17276,                 1.5716,                 3.1913,                 1.7188,               0.001078,               0.001078,               0.001078
                      4,                 1.5837,                 2.1627,                 1.5162,                0.48087,                0.38984,                0.34515,                0.17609,                 1.6037,                 3.7568,                 1.7178,              0.0010025,              0.0010025,              0.0010025
                      5,                 1.5859,                 2.0036,                 1.5005,                0.62348,                 0.5258,                0.56273,                0.32248,                 1.5135,                 2.7683,                 1.6508,              0.0010025,              0.0010025,              0.0010025
                      6,                 1.5676,                 1.9828,                 1.5539,                0.75621,                0.60546,                 0.7092,                0.44086,                 1.3812,                 2.2714,                 1.5187,                0.00092,                0.00092,                0.00092
                      7,                 1.5568,                 1.8433,                 1.5446,                0.73721,                0.69429,                0.77901,                0.46103,                 1.3584,                 1.8719,                  1.467,              0.0008375,              0.0008375,              0.0008375
                      8,                 1.4882,                 1.6374,                 1.4711,                0.67106,                0.65973,                0.65971,                0.41837,                 1.4347,                 1.8573,                 1.5516,               0.000755,               0.000755,               0.000755
                      9,                 1.4251,                 1.4522,                 1.4243,                0.83651,                0.83949,                0.87845,                0.52719,                 1.3296,                 1.4088,                 1.4471,              0.0006725,              0.0006725,              0.0006725
                     10,                 1.3823,                 1.3608,                  1.391,                0.88775,                0.66089,                0.79314,                0.45946,                 1.5065,                 1.6711,                 1.5615,                0.00059,                0.00059,                0.00059
                     11,                 1.3598,                 1.2625,                 1.3668,                0.90552,                 0.7387,                0.84595,                0.54202,                 1.3604,                 1.2777,                 1.4655,              0.0005075,              0.0005075,              0.0005075
                     12,                 1.3417,                 1.1639,                 1.3491,                0.91197,                 0.8325,                0.91645,                0.63554,                 1.0952,                 1.0823,                 1.2908,               0.000425,               0.000425,               0.000425
                     13,                 1.2781,                 1.0783,                 1.3091,                0.92564,                 0.8373,                0.93331,                0.64203,                 1.0927,                 1.0607,                 1.2622,              0.0003425,              0.0003425,              0.0003425
                     14,                 1.2325,                 1.0392,                  1.266,                0.87331,                0.88938,                  0.931,                0.64688,                 1.0942,                0.98225,                 1.2518,                0.00026,                0.00026,                0.00026
                     15,                 1.1784,                0.97567,                 1.2336,                0.90676,                0.83082,                 0.9039,                0.62778,                 1.0686,                 1.0618,                 1.2488,              0.0001775,              0.0001775,              0.0001775
